timestamp,p1
2007-01-01,0.0032974908836127938
2007-01-02,0.0032292697549872232
2007-01-03,0.0024508335265881176
2007-01-04,0.003405468366431778
2007-01-05,0.0026884387492376086
2007-01-08,0.013772085238873626
2007-01-09,0.007341851923868934
2007-01-10,0.006368949051743653
2007-01-11,0.008336371898202867
2007-01-12,0.002243791683932807
2007-01-15,0.0014762278213938799
2007-01-16,0.0020238589450417327
2007-01-17,0.00353757995643194
2007-01-18,0.0043918276987769
2007-01-19,0.004969053969584126
2007-01-22,0.0031718038571121685
2007-01-23,0.004512484205527676
2007-01-24,0.005760563935269376
2007-01-25,0.0020448855581319475
2007-01-26,0.004224899597248898
2007-01-29,0.006577063831458046
2007-01-30,0.004623739703133464
2007-01-31,0.0041707680448814346
2007-02-01,0.0038626878913678043
2007-02-02,0.0017124106756870067
2007-02-05,0.002759237163751098
2007-02-06,0.002714769625909814
2007-02-07,0.002169829771279803
2007-02-08,0.001392836109424181
2007-02-09,0.0025356245871235956
2007-02-12,0.0020928982994684645
2007-02-13,0.004017203535212491
2007-02-14,0.002136667053964719
2007-02-15,0.001028963311095641
2007-02-16,0.001340895386759832
2007-02-19,0.0014363198825664786
2007-02-20,0.0011201267023529915
2007-02-21,0.0016044798065575528
2007-02-22,0.001937264166999657
2007-02-23,0.0017415712384481624
2007-02-26,0.0016361149436915172
2007-02-27,0.0020117821746578972
2007-02-28,0.07781666987549445
2007-03-01,0.07417318956983335
2007-03-02,0.05994726679212353
2007-03-05,0.1277273152365893
2007-03-06,0.1639943048563185
2007-03-07,0.06828242390576152
2007-03-08,0.048721486155869805
2007-03-09,0.02158901153742295
2007-03-12,0.02302887773210849
2007-03-13,0.027682634517350146
2007-03-14,0.10734938487461772
2007-03-15,0.20399862059607518
2007-03-16,0.1169375139790286
2007-03-19,0.13410241136725817
2007-03-20,0.038189690206196024
2007-03-21,0.01974778809801372
2007-03-22,0.023417887346918246
2007-03-23,0.023229973065722206
2007-03-26,0.014429318383410647
2007-03-27,0.015524283616930023
2007-03-28,0.0144034629136495
2007-03-29,0.02366684104770571
2007-03-30,0.027635580232271965
2007-04-02,0.013536432747621964
2007-04-03,0.012642060854758786
2007-04-04,0.004884538801153859
2007-04-05,0.0034244195435409286
2007-04-06,0.00402087630723334
2007-04-09,0.005966460215236459
2007-04-10,0.008139131755336206
2007-04-11,0.0049803944748064944
2007-04-12,0.014894375179176479
2007-04-13,0.019445672694732706
2007-04-16,0.08189185273852305
2007-04-17,0.006693136870693895
2007-04-18,0.01122447647033949
2007-04-19,0.011244285837497451
2007-04-20,0.014366223557635525
2007-04-23,0.009593310921387542
2007-04-24,0.021607628901863928
2007-04-25,0.016104273775087982
2007-04-26,0.016510422257426764
2007-04-27,0.021557839625554874
2007-04-30,0.014210622573301513
2007-05-01,0.01746384131971666
2007-05-02,0.02597954621344439
2007-05-03,0.01536674776529311
2007-05-04,0.014859864547554936
2007-05-07,0.010895865497506574
2007-05-08,0.01470117622044527
2007-05-09,0.029154036245425768
2007-05-10,0.015591288472395015
2007-05-11,0.0456925939252766
2007-05-14,0.02153610445994148
2007-05-15,0.03518786091063328
2007-05-16,0.044971323358777036
2007-05-17,0.030022183609510873
2007-05-18,0.041001784537534586
2007-05-21,0.010187657450052718
2007-05-22,0.01526097180161967
2007-05-23,0.01110302879558693
2007-05-24,0.008746033560273248
2007-05-25,0.046569232682464594
2007-05-28,0.031468345321316905
2007-05-29,0.013808589066860465
2007-05-30,0.01164508658881534
2007-05-31,0.01407516771520213
2007-06-01,0.008084575176211388
2007-06-04,0.007087568514973407
2007-06-05,0.01600252009787498
2007-06-06,0.01757026193728497
2007-06-07,0.04040062233323483
2007-06-08,0.04068157891070183
2007-06-11,0.012032610958814577
2007-06-12,0.00809421725581035
2007-06-13,0.015333347038256522
2007-06-14,0.008002111470976039
2007-06-15,0.0030798248134827583
2007-06-18,0.0031057688782133385
2007-06-19,0.004072580422070715
2007-06-20,0.0023909783284730124
2007-06-21,0.0046157474620921275
2007-06-22,0.004857246734403161
2007-06-25,0.008283488002018885
2007-06-26,0.012394161964181446
2007-06-27,0.035775556378480435
2007-06-28,0.012373758147582467
2007-06-29,0.006990980469141654
2007-07-02,0.008761253614430914
2007-07-03,0.007037389401742516
2007-07-04,0.00642211093341643
2007-07-05,0.006124813923992809
2007-07-06,0.010474606267849428
2007-07-09,0.005106665299898499
2007-07-10,0.005391832970518973
2007-07-11,0.02007567101865774
2007-07-12,0.015563599087631217
2007-07-13,0.006904482463062281
2007-07-16,0.007044208033185828
2007-07-17,0.010138019073948913
2007-07-18,0.011570607694352763
2007-07-19,0.016842591113321755
2007-07-20,0.008189026959423222
2007-07-23,0.019768307216331042
2007-07-24,0.019942800002465767
2007-07-25,0.03787278293216714
2007-07-26,0.07302796433327625
2007-07-27,0.12673661748912848
2007-07-30,0.12813846884119456
2007-07-31,0.07822047156698106
2007-08-01,0.11170420288606782
2007-08-02,0.09449373266766924
2007-08-03,0.07766291369285627
2007-08-06,0.13394118427221965
2007-08-07,0.1115980595841634
2007-08-08,0.08768870691048702
2007-08-09,0.05929171810501602
2007-08-10,0.23932470141678097
2007-08-13,0.10836128604853629
2007-08-14,0.11202128145957173
2007-08-15,0.0844182495938271
2007-08-16,0.0597313630431176
2007-08-17,0.024947825360742994
2007-08-20,0.09761171633448591
2007-08-21,0.15085162576192726
2007-08-22,0.14807759464572806
2007-08-23,0.12660827666950408
2007-08-24,0.09120914182990526
2007-08-27,0.10476998534272862
2007-08-28,0.12485308970751463
